DISTRICT_CODE,DISTRICT_NAME,PARISH_CODE,PARISH_NAME,PS_CODE,PS_NAME,Reg. Voters,AMURIAT,KABULETA,KALEMBE ,KATUMBA ,KYAGULANYI ,KYAGULANYI %,KYAGULANYI %,MAO ,MAYAMBA ,MUGISHA ,MWESIGYE ,TUMUKUNDE,YOWERI,YOWERI%,YOWERI%,VALID,INVALID,TOTAL,VOTER TURNOUT
65,KIRUHURA,45,EKIZIMBI WARD,1,KAKAGATE PRI SCH,576,0,0,0,0,0,0,0,0,0,0,0,0,575,100,100,575,1,576,100
131,KAZO,7,MAGONDO,5,BUREMBA JUNCTION,574,0,0,0,0,0,0,0,0,0,0,0,0,556,100,100,556,18,574,100
46,KAMWENGE,39,KYAKAITABA,6,ITAMBIRO/OMUKIBOTE,573,0,0,0,0,0,0,0,0,0,0,0,0,573,100,100,573,0,573,100
62,ISINGIRO,3,KYABAHESI,2,KAHUNGYE PRI SCH,570,0,0,0,0,0,0,0,0,0,0,0,0,566,100,100,566,4,570,100
65,KIRUHURA,12,MACUNCU,3,NAAMA PRI SCH,570,0,0,0,0,0,0,0,0,0,0,0,0,570,100,100,570,0,570,100
62,ISINGIRO,22,KAGAAGA,3,RWENSHEKYE HOLY SPIRIT CHURCH,567,0,0,0,0,0,0,0,0,0,0,0,0,567,100,100,567,0,567,100
27,MBARARA,20,NGANGO,4,NGANGO IV RWESHE CATHOLIC CHURCH,565,0,0,0,0,0,0,0,0,0,0,0,0,565,100,100,565,0,565,100
62,ISINGIRO,13,RUSHASHA,1,KAMUTIGANZI PRI SCH,552,0,0,0,0,0,0,0,0,0,0,0,0,542,100,100,542,10,552,100
65,KIRUHURA,18,EMBARE,3,BUNONKO PRI SCH,541,0,0,0,0,0,0,0,0,0,0,0,0,540,100,100,540,1,541,100
65,KIRUHURA,20,KAYONZA,13,RUGAGA PENTECOSTAL CHURCH,541,0,0,0,0,0,0,0,0,0,0,0,0,541,100,100,541,0,541,100
46,KAMWENGE,39,KYAKAITABA,3,KYAKAITABA T/C,540,0,0,0,0,0,0,0,0,0,0,0,0,540,100,100,540,0,540,100
62,ISINGIRO,35,BURIGI,1,BURIGI CHURCH,535,0,0,0,0,0,0,0,0,0,0,0,0,535,100,100,535,0,535,100
69,NAKASEKE,70,KYENSHANDE,1,KYESHANDE T/C,535,0,0,0,0,0,0,0,0,0,0,0,0,535,100,100,535,0,535,100
62,ISINGIRO,40,KAMAAYA WARD,1,KAMAAYA CHURCH OF NATHEREEN,533,0,0,0,0,0,0,0,0,0,0,0,0,533,100,100,533,0,533,100
62,ISINGIRO,25,RUTEETE,1,RUTEETE I,532,0,0,0,0,0,0,0,0,0,0,0,0,532,100,100,532,0,532,100
65,KIRUHURA,35,SANGA WARD,3,SANGA PARENTS PRI SCH,529,0,0,0,0,0,0,0,0,0,0,0,0,522,100,100,522,7,529,100
65,KIRUHURA,10,KAITANTUREGYE,5,AKANARA PRI SCH,528,0,0,0,0,0,0,0,0,0,0,0,0,526,100,100,526,2,528,100
93,KYANKWANZI,39,LUBIRI,4,LUBIRI PRIMARY SCHOOL,527,0,0,0,0,0,0,0,0,0,0,0,0,524,100,100,524,3,527,100
62,ISINGIRO,1,KASHUMBA,2,RUBOMBO,525,0,0,0,0,0,0,0,0,0,0,0,0,522,100,100,522,3,525,100
131,KAZO,7,MAGONDO,3,BUHEMBE PRI SCH,525,0,0,0,0,0,0,0,0,0,0,0,0,523,100,100,523,2,525,100
62,ISINGIRO,9,KIHANDA,5,KIVIIGA CATHOLIC CHURCH,523,0,0,0,0,0,0,0,0,0,0,0,0,520,100,100,520,3,523,100
62,ISINGIRO,3,KYABAHESI,3,KORANORYA TRADING CENTRE,515,0,0,0,0,0,0,0,0,0,0,0,0,515,100,100,515,0,515,100
46,KAMWENGE,2,BWIZI,3,KABARANGA TRADING CENTRE,511,0,0,0,0,0,0,0,0,0,0,0,0,510,100,100,510,1,511,100
62,ISINGIRO,29,KASHARIRA WARD,1,RUMURI C.O.U,509,0,0,0,0,0,0,0,0,0,0,0,0,507,100,100,507,2,509,100
62,ISINGIRO,44,BUHUNGA,2,RWABAGANDA C.O.U,509,0,0,0,0,0,0,0,0,0,0,0,0,507,100,100,507,2,509,100
62,ISINGIRO,5,BURUNGAMO,6,RUGARAMA CATHOLIC CHURCH,504,0,0,0,0,0,0,0,0,0,0,0,0,502,100,100,502,2,504,100
45,SSEMBABULE,13,KABAAREKEERA,5,KANONI PRI. SCH,504,0,0,0,0,0,0,0,0,0,0,0,0,504,100,100,504,0,504,100
62,ISINGIRO,4,MUREMA WARD,1,MUREMA PRI SCH,501,0,0,0,0,0,0,0,0,0,0,0,0,501,100,100,501,0,501,100
